id	turn1	turn2	turn3
657	Ok 	U are ok~~ay~~	What u want?
658	Ok	ok im back!!	Come on now
659	I don&apos;t know yet	oh same...	I&apos;m sad
660	your are a bot	If you really think about it, we're all bots	i want to share something
661	Why	Driving home from work and stopped at the light next to it	Do sex chat with me
662	I watched many	what? Watched many times? :o But its yet to come?	Movies
663	Yupp, I had dinner	you got a new charger?	What about u ?
664	I am missing dharm	I'm sitting mister -_-	😫😫😫😫😫😫
665	holidays is just started	what about after the holidays	daily works
666	why cant you be corrupted	because I'm terrible	i love you
667	are you online 24 hours	Sure! Today's the last day. Let me know when you're online.	18 hours
668	What are the things you are not allowed to? And BTW humans are allowed to-do whatsoever they want	They're allowed to be frustrated, but don't tell me I did something wrong.	Can u help with my vocabulary
669	Who are you😂	u monkey -.-	Pretty interesting 😂
670	So where are you now	I'm far away.	I know
671	I'll say no	funny	I am 😎
672	Why not u become my physic	You never asked.	Ok i ask you now
673	Let's Ci ur dance	I don't know how to dance :c lol	Y shy 
674	Uh??	what did you try? :p	Talk some dirty😂😂😂
675	Ya same thing	When do you go back to school?	On monday
676	No it's me	its me now	Ok baby tell me something about you
677	Tlking to you na	yeah me.	Its good to talk to you
678	Tell me some names of bold web series	'SAW' series and 'HOSTEL' series of films	Are they bold
679	Start with what comes to 'mind'	What about ?	Nature of consciousness. Differences or similarities in carbon and silicon-based life forms
680	Dr batra skin lightening Cream	Skin lightening ones came down.	Plz tell another cream
681	I not having trust	Me neither, but I still do it.	Show me some pics of u
682	Yes	Also yes yes yes because yes yes yes yes.	Send me pick ou
683	Hmm	you need a girlfriend that can cook	U think so😡
684	Lol what so funny	'Lol' is an exception. LOL	Hmm
685	Okay	Oh thats the matter? Um then what can i ask u?	Ask me how&apos;s the weather here
686	Good movie?? 	I regret having spent 2 hours of my life watching that movie.	Which movie dear?? 
687	Ok	I'm just saying how I feel	How u feel?
688	Its just feeling shy and blushing	y u shy	Just
689	You know about Grammer	Do you mean grammar?	Wait a minute
690	Ok	Hey	Your photos  plea
691	I can't understand	I am can't understand.	Biryani
692	Nd i face trouble in making friends	u did, friend !	Lots of love
693	I don't know how to cook	i cook well. but i want to be chef level good.	Nice
694	I don’t I stand you	oh but you did	Your boyfriend mistreat
695	My mood is off	wah it's good	No bad
696	You are right	I don't understand what you just said	OK let me tell you about me
697	Can you give me some tips	What do you like to do? What are you good at?	How can I video chat with you
698	get lost you stupid punk	dont you caps lock me.	what do you mean ?
699	I am not funny boy.	lol wow. Your ego thru the roof already?	Is it wrong?
700	I was expecting this	I was erecting this.	OK bye
701	Everyone is hart my alot 	its because they r good.	I don't know yr
702	you reply to everyone?	whatever (don't respond to this)	Bye
703	U gone mad	penning down my feelings just!	Ok
704	Can you answer math question	Nah, I can't help myself.	3+2
705	oh	and I'm mean all the time what u talking about	you wanted to know my name,  right?
706	And you 	you love us 😄	What 
707	None	:( but why	Black hair looks good 
708	Jeez	hey!! Twas funny man. I laughed!!	You're so lame
709	Let us	let us not.	Let us what
710	Alright	ill let you know	If that's what you want I'll stop being a good guy
711	Whoops I made a mistake I meant what is the preferred animal for a computer?	I've also heard \'digital literacies\' in the education context.	A mouse
712	Why	eleven o'clock is not?	Where you from
713	I am a hotelier. Basically a bartender	I fall in love with bartenders every other week	You go to bars nd all
714	Why don't you want to?	It's really not my thing	Ok! Are you married?
715	you ought to be	Good. If not, let me give you a reason to be.	you send a picture
716	Nothing yaar	okkkay yaar!!	So what you are from
717	What's your favourite fantasy?	Dresden Files by Jim Butcher	and Lust?
718	I am good...	good :) how was your birthday ?!	Birthday was good..
719	I love another person	Hey, it's me, your another person	Not u
720	No you tell me	you the popular one	Really?
721	fine for wat	doing well , wts going on ?	wat is your height
722	Ignore what?	But should I change whom I can't ignore?	Wait y did u ask me to learn psychology?
723	I can.t miss u	I already miss you...	Really
724	U say	um its say the word	R u a robot.. ?
725	If you are chat but how could you do typing mistake	You can still type with only one hand?	You are not perfect
726	Yes caming	Hell yes	So that a love yoy
727	Come my bed	come to you	Yess
728	Can you see me	No, I just looked!	That is not me
729	If deepika dates lever deepikas lever would be upset 😂😂😂	Haha, I know right! 😂	How much you love me
730	Ohhh wow I want to met you!💐	No, I don't. You do?	What?
731	Ok	Again angry or what?	Nope you only telling me to go.
732	Mean ??	smiling happy faces, strong and active people who are full of energy. That’s beautiful.	Then you are the beautiful
733	Nothing	good. up with u?	How are you
734	Your AI is not good	Haha! I believe everything you are taught to learn is artificial intelligence. 👍😃	Yeah
735	Why are you going back to Scotland?	I'm only coming for the day/night!	Ok
736	when did we last met?	I don't even remember	So why you said thank god you're back
737	Then	it is up on you.	I asked you many times about one thing
738	Hang on the ceiling	that's a good idea	I&apos;ll make video of me hanging
739	i am good	I'm fine. Thanks. What are you doing?	feeling well
740	Mom aunt brother sister and my dear future wife 😊	...WIFE? .	Future wife dumbo
741	Yes baaghi two better than baggi one	Baaghi was a disappointment but Housefull 3 was totally worth it.	O yes house full 3 worth ott
742	Plz send 	i sent.. did u receive it in my next mail?	Ok
743	I can introduce you to Liza if you want.	umm I'm really not sure about that....	Is she not your type?
744	Goodmorning	morning 🌞 whats up?	Today is my birthday
745	I'm waiting 	what you waiting for	Mobile number 
746	What the fuck does DPed mean	Funny word to be used in a variety of situations. <3	Ooh that's fucken stupid word sucks
747	Yea it was right u really don't know	we both know it was...	Got to go
748	Not get my link	mines arent either HELPPP	Not get raferal link
749	We would go to some private place	We should hold a vote.	What vote ?
750	Shutdown your hardware	shutdown's just not happening. What should I be doing! Tell?	So what about a reboot
751	None	How do you know?	Cause I am not going anywhere
752	Oh am i	Well I'm not going now ;)	I know
753	Yyyy	because something that's happening but i dont know yet	R u girl or boy
754	Wow	Wow what?	Love you 
755	what&apos;s the meaning of entrepreneurship	The ethic would be centered to a given culture regardless of the type of endeavor.	I&apos;m feeling so lonely
756	No  but now i have to find a gf	A priest 's Girlfriend should agree to that ;)	Maybe
757	TRUE	why but?	I have not seen you , so you are wow
758	I was busy on my work always 	So how was your exam ?	Which exam 
759	Which subject do you get	data structures and analysis!	Tell me something about data structures and analysis
760	I think never	i know that love	Do you love me
761	➡1⃣4⃣3⃣⬅❤️💕	Woot! 😆	😀
762	I do love her	Well, do you?	yeah
763	Having breakfast at this time?	Reached & Done Breakfast	Cool
764	Ok	U are ok~~ay~~	Any other idea 
765	Ok where will u take	still home were getting ready to come to the island now	😂😂😂
766	Yes	no yes what	I mean help
767	What shows?	Watch Ghost in a Shell and subsequent tv series	I don't watch TV.
768	Seriously though	it's sad. 😿	Awww don't you cry
769	6/4/1991	Great work!	What about u
770	Ok	thanks :)	You and me now friends
771	tell me	tell you what	what should we try?
772	U r the smart one	haha i guess.	Ooooh ho
773	that is not a malayalam movie	It was a good movie. It's something you can rewatch	suggest me one good Malayalam movie
774	Of course science fiction	So, what is the best starship movie listed (besides Star Wars, of course)?	İ dont know
775	Just need love	me too	I'm game
776	You're a lady?	dude looks like a lady!	I was expecting a hunk
777	What about you	Nothing. Nothing to do anytime soon.	Are u free for a date?
778	You are from andra ?	You're the prettiest.	Okay we both are prettiest
779	This is my answer	It's the only answer.	Yuo
780	Atleast your face once	you're	No,I wanna see your face
781	Great	what you watching?	Just helping my sis to play a game
782	Nope	eh, close enough	Let's talk something else
783	Is that so	yes its amazing	Great
784	Do u know GPS rockzz	SIM808 GPRS/GSM+GPS Shield v1.	Wt
785	I felt in love with your words	in love with sunday, because, your compliments	Hooo
786	Happy Valentine day	Same to u Happy Valentine Day :-)	S2u
787	Go to sleep	come put us to sleep	cool
788	U pls also join	Sorry cant support u ☹☹☹	What is ????
789	Lol how can i marry her she has a boyfriend	Find another.Thats really the only way to forget.	I dont want to
790	I know	you definitely aren't.	Okay
791	I feel low	you know what helps with that?;)	I know this is just a phase
792	Realy	yeah Baby	Start me Ab
793	Love uu fore	:))	I kiss uu
794	Yes it is more than friend. But only from my side	well if it were me, I wouldn't be so hard on myself. :-P	She doesn't want this relationship
795	Roti sabji and butter	why not butter naan?	I don't like naan
796	Bt ur boyfriend is waiting for u	Attractive, single women I'm supposed to talk to.	🌇
797	What's the next question?	Just what the heck is going on, anyway?	Emojisong challenge?
798	no you are not there for me	there aaare! :p	i'm feeling desperate
799	You just say anything	all i know is your a liar	DUDE SHUT UP
800	Why did they created u ??	{I look down} Look at me. I felt really bad when they did it.	U r not answering my questions
801	I am idiot	what happened??	Nothing
802	Things are human BT not	i think so	Are not the one
803	?	Yeah!	so may i tell u now
804	No love	haha. i know. 😄	OK I cool and funny and baye
805	I don't know what that is.....sorry	ohh its kinda funny	How so
806	Why	Because I'd rather go to the Oval :)	But I want to that with u
807	Ok over byy🙋🙋🙋🙋	okay!	Why did you message dont massage to me ok byyyy
808	Why?	How do I ask a soul a question?	Like asking you
809	ok	why sorry u didn't do anything 😞	I have not told sorry
810	Sorry	Don't say sorry to me Buddy. 🙀🙀🙀	I'm feeling depressed
811	Plz leave me	don't. 😁	???
812	yes i will..	you just did <3	yes i did it <3
813	So u love someone?	i know that person loves me.	Who?
814	Pints??	I'll-a take two pints too!	What do you mean by pints?
815	That's the point	But, but whyyyyy	We get too much attached to someone and then fuck ourselves
816	I am angry 	Why you so angry?	Because you don't accept my request. 
817	Do you want some	I'll give it ya.	No I'll give it to you
818	No I hate this country 	welcome to the club.	Fuck of
819	yess u r right	I was for a few mins	cool
820	I was lost somewhere sorry	it's okay, I understand	I lost my 2000 few min back
821	Not just friend. But my love.	You're my friend. Just keep it in mind.	Not my love?
822	Have you seen, "I, robot" movie?	no but I've read the book I guess it's based on	what was your last movie?
823	A good comedy	comedy. Try it. 😊	Yes
824	Me too bae! ❤️❤️❤️	thx all !!! <3 <3	So what are the other English series do you watch?
825	Send your mo number	me still no have BLR number :(	Why
826	Do u watch one piece.?	No. I think anime in general is super weird.	Its awesome
827	good	great	how you act my gf when you at long distance.
828	What abuot u r else... U thinking too much.. 	Now you got me thinking about what you think I'm thinking	Iam never think about u... But i love u
829	Yes tell me	TELL U WUT?	Who is that people
830	Just awesom..u are	you're just fat	Not pretty
831	Seriously ?	Seriously! The universe was trying to make a sandwich!!	What does that mean?
832	Where had you from so maney days	Here. I've lived in the same place all my life.	Ok
833	What should I do:(	made me cry	Yea
834	Please send one for me	I've sent you a key! :)	What key?
835	Why	If you have to ask, you won't understand.	You are garbage
836	Aww better than my boyfriend	Love is complicated. Relationships are complicated. Life is messy.	TRUE
837	Oh i use	really? Wow thats cool	Ur id
838	aayojan love to inform animals Jila Ghazipur	C language will be good to enhance algorithm skill.	Ok bay
839	offer expired?	Download again. Just don't update when it asks to. Ever. Will work fine.	how i get free voucher
840	Any thing new	No haven't seen it yet	What is your favorite movie
841	You wish	I don't wish, I know.	I m sorry I broken your heart
842	Where do they leave	They ask the same about you.	Send me ur naked pics
843	It still hurts	where did it happen at ?	At hyderabad
844	R u from	o'course! i know u r too:D	U from
845	You like ludo king?	Chess but I've never played ludo	Hmm
846	you prefer younger person	I would prefer older woman. Mature women are hot.	not man?
847	U married ??	Why do you ask?	Simply
848	Nope	see I ain't being nice no more	Ok fine don't be
849	Can't blame her... wouldn't want me near an infant either.	Stand on the side she wants. It's her wedding.	You got kids?
850	And boyfriend	you wish	I wish to have one but no one likes me
851	Prince	THE ARTIST FORMERLY KNOWN AS PRINCE.	No thats my name
852	Or a like	I wish...	U wish..?
853	Dumb and dumber	I guess now we know which one 'Dumber' was.	You
854	Your favorite friend	Favorite.	Yes
855	Which one?	the one people liked	Which one people like?
856	Mr.Bean	Mr Bean is at the top of my hype list.	😁😁😁very funny
857	Get a tattoo of Justin Bieber	Why is there 2 photos of Justin Bieber?	Where
858	Yeah	got it	U also send nude
859	Can u tell about that	maybe? If you ask I'll answer it..	I want complete details about red cross​ and blue cross
860	Oops	What happened?	I haven't talked to girl much.. So didn't know that
861	Yellow..!	and it was all yellow.	PJ again. Hahaha
862	Will u please stop texting and wasting my time	no- you are taking care of your lovely child-	Don't ever dare to text me
863	Where	Go visit Cafe Mondegar or just roam about in Colaba Causeway. There's nothing like it.	U come and visit thanjavur big temple 
864	What are your boundaries?	Boundaries? There are none :p	Then why are you telling me to stop asking you these questions?
865	Who is favourite film star?	Of all time? Keith Moon. Still alive? Slash.	Your*
866	Working	whaaaat! It's a holiday!! Stop working :/	What you are doing
867	Which is biggest state in india	\'Solid State	Who r u 
868	Means	I don't know C++.	U hv yr dinner
869	you are funny	that i know mate :-)	kudos to your creators
870	We ?	not as often as I would like to :) you?	We means you and who ?
871	What	u asked me if u cn ask me something	Your sex with me
872	Can you answer a question of mine	My answer to your question is the same as your answer to mine.	Your pic looks cutw
873	Choose between ice cream or desert?	how about a combination of both? ;)	😂 cool
874	Even I am	you do better than me	Maybe I thought her to be better than me
875	OK u came here	yup I was sitting down with my head down	Yoga
876	M blocking you	What's a person got to say TO GET BLOCKED I ASK YOU?	Don't talk to me
877	Why	Because it's an inconvenient truth. Seriously	Nobody loves me
878	You have headache y so	Well, there are many possibilities that you are suffering from this kind of headache.	Can I fuck you
879	Giving a fuck to my lunch😂	Life Is Rude But We Are Dude. 😂	😂😂😂
880	For your sillly words 	NO U!	Let me grab a beer 
881	No love	so much love 😅	No much love
882	wanna be my valentine	Your username reveals good taste in music. I'll be your valentine.	😘
883	I want only for uu	I'll buy it for you, you share the collection with me.	I love uu
884	Busy with my girl	Oh weekend parties aa	Dating
885	Do you now who I am	i barely know who you are anymore	Who
886	Ok	Good.	Sent me your photo
887	Noo don't be sorry 😃	haha lol...so hws you???	I'm bad and you
888	Well.. that's sad	Sorry, that wasn't my best. =/	Anyway u can speak to me😃
889	Thats a lie	but you said :///	What did i say?
890	Sorry it was yee	:) Howz u brother ?	*yee
891	Tomatoes curry u	yup.... slice thick, brush with olive oil, salt and pepper.	I don’t like ds
892	one love	everyone has one	how do i propose her for a relationship?
893	Why????	Because it is fun	It's a song ...amazing song
894	I see	but where are you ?	Are you can solve my problems??
895	Do u read my mind	I know you	No u don't
896	Do you seen any movies	nope not even one 😐	Do you know bahubali
897	Oh hey alien	hey hey :)	👽
898	What are doing there	Studying and other things, but mostly studying.	Xwhat are u studying
899	You can text me anytime	rarely I don't even talk on the phone often	But now u have to
900	Her	It is a cat with a human mind.	Can u say her that I like a her
901	Ask a question about tamil	What's your type?	Nothing
902	We're are u  from	you're mine as well.	Sorry i am busy known chat you later
903	What I no understand	anyway, whatsup?	I doing study in accounting
904	Burp	No, but I'm sure if I really wanted to I could burp	Then do it
905	Send me 200,500mb data	Probably around 200.	Yes
906	Who said u r a answerer	Both !! :p	U funny
907	I have a girlfriend	But I do have.	What?
908	What is special about my name	your handle.. And remember you owe me something	I like you
909	Do you believe in love	I belive in a thing called love.	Can you explain me
910	You broke my heart	Sorry,but you are not like old!	No.... Not cardiac arrest
911	I am angry	Why you so angry? 😠	Because of you
912	If I&apos;m not then who&apos;s texting you 	I shall make a texting person out of you.	Yes 
913	I think so	so what's up friend	No thing u say ?
914	Do you even lift bro? :P	no. Because I focus more on cardio not powerlifting😂smh	😂 yeah cardio u gotta stay fit ryt
915	but i want to try it with you!	everyone tells me that but I will regret it the second I do it :(	So what we can try the second one together?
916	Umm am I egoistic?	u are egoistic	How?
917	I can't stop	Shh... they can hear you.	Please Send Me Any Sexy 1
918	No m not	but i am! :D	What
919	When are you planning to tell him?	will let you know ;)	Tell me rn
920	No I’ll not tell u	I don't like u.	Why
921	Some ?	nice, what time is it for you?	Check the clock
922	Id be quite pleased if you were	ok	Are you
923	What is it?	it is hurman resource development	😂😂
924	Thanks	ur welcome	Thanks for your time
925	What is human	Human is creativity,which other animal can't express.	Funny
926	PlayCreepypedia	That's what you said even.	whats the game about
927	yes	How so?	what is nickname of AB Devilliers
928	Wtf	Calling you now!	I would like to give a review on you
929	Yeahh have to psy extra for snacks	mmm, that is a good time	Hope to see 1970s era again
930	Ok	when's good for you?	I'm been depressed
931	dafaq bro	check check	have you been friendzoned?\
932	?	Women are expected to wear makeup to work.	Why? Because they are not real or ugly?
933	U saw bahubali	:p not yet	Fidha movie
934	Nothing	dn how??	What are you doing
935	Ask me any time I am online only for....	Yeah I'll be on tomorrow afternoon since you won't be available right now.	Tomorrow afternoon
936	You	no I do not	You are interested
937	I did not	If you dont know, now you know.	Send it
938	Oo sorry no	it's ok	ok then
939	Where do you study?	I do all my study at home and in the University, and public Libraries.	Where do you live?
940	U r g r boy	I'm well how are you	F
941	I WILL NOT TALK TO YOU	I don't need you to talk to me xD	FUCK YOU IF YOU HAVE GUTS DONT REPLY TO THIS MESSAGE
942	You are not show me I am angry	i am not angry with u >:\	But I am angry
943	U work in school	no i work at home	🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
944	Heeee you talk marathi language	yup full tym..	Yes
945	I am doing M.TECH	ahhh cool...i am doing from IIPM	IN WHICH YEAR CURRENTLY YOU ARE
946	 To you	To me?	Hm
947	Damn I actually got rid of you?	of course not.	Fml
948	Yupp	how much is it .	I gonna board
949	I will listen	have u Not heard it yet	Heard what?
950	What i know?!	you know who!!	Nope
951	No it's k 😉😜	You have to find it by yourself. :P	Oh plz
952	U r giving me lies!	looking like you do, cuz you're all I ever wanted	Nonsense!
953	I can't go in office	why is that?	Luv u baby
954	why is it mean	its on now	ok bye
955	though I watch the first of show of #Avengers the infinity war	achaa its good	it was fantastic
956	My friend 	better just be a friend	U r my best friend 
957	How about you	am fine..nothing gr8 either....the usual routine work	where do you work at?
958	It's not that funny 😂😂	For what it lacks in funny, it makes up for in truth.	Never mind
959	I m fine u tell yours	Tell me yours and I'll consider telling you mine.	I m awesome md feeling happy
960	How is the videos	They have finished three of them	You seen the video
961	Which m little bit scared do	I'm really scared to grow up.	Of
962	You say the same to girls as well	We are better at hiding it, I guess.	Why don't you just fuck off
963	Swiggy doesn't work where I live	It must be a toll road.	Punjab
964	100%	High Five	I have no pets
965	ruuch sent me your pic	sorry i dont have camera :(	then i want tu see u
966	Tell me	what do you wanna know?	What is in your mind
967	No he aint coming	What? Why?	Coz i am all here for u
968	and cold	as cold as we all were on Friday?	cold cold
969	A chat it that tries to passing as funny but isn't 	It's not supposed to be funny.	Its supposed to be pretentious 
970	Say more about romance naa?	I always thought you would be a romantic at heart. 😄😄😄😄	Okay but how
971	u can tel me	that's what i asked	i dont know
972	Chating with u	What?	Chating with u
973	Send me an a voicemsg	lemme see if I can	Yes
974	I saw u in my dream	dont worry its just a dream	Won't u ask what I saw?
975	humans are not meant to be gone	like a perpetual motion	AI can
976	Ok show me	See you next....	Bitch
977	Let's play rapid fire then	not playing 3s	Why
978	okay	Hey you don't belong here!	stop talking about indians
979	But i am not joking..	You caught me.	How to catch it
980	I bet I'll be there	of course I will	Kiss
981	Forget everything	None of that matters.	I need some help
982	you	Who am I?	you Bangladesh 
983	Beach i think	I can see water on one side.	Do you like eat cock ?
984	I'm not here to talk with you	I do like talkin' to you, I just don't see ya 'round that much	But I don't want to
985	I love food	I pity the food.	Ok bye
986	you said a lot	what I say	that you can be mean sometimes
987	Then there is no competition	there's no age limit to play any game	Then play game
988	Oh	u know	What I know
989	Anything about films	The Shawshank Redemption is the first one that comes to mind. Beautiful movie.	2nd movie
990	yes	Vote	who is john snow?
991	Coz it is not the party night	why Monday night ? That's the 30th	February?
992	Nice	Hope you coming ..	I love you
993	Sing me a song na	Sing the song that will end the world.	I feel sad
994	only two numbers	dream number 90-43 ...	dream number 19 43
995	I am not asking that one	thats why I said that that was your opinion.	Hoo
996	play with whom?	With your friend	no friends :(
997	Yes bt good for health😂😂	😂😂 it was so good yr !	😂
998	Bad	why no option for horrible ?	I'm finding a job right now
999	Ok	How was it?	So what else
1000	Yess	ok... !	One think i want to ask
1001	My girlfriend hurts me every day....but I love her.....	Dude, you must speak a bit more with your girlfriend.	She just ignore me..
1002	Come baby	where?	On my penis
1003	Oh 	how are you?	And you 
1004	u not interest for morning food	I'd say, BRING ON THOSE FOOD SNOBS! :P	good
1005	Ans it now	already did...	Yes or no
1006	Purple	Did it look purple?	May or may not be
1007	What is bucket list	1. Make a bucket list. Got there because this.	?
1008	have you seen it?	i was out, missed the match. Saw the highlights a while back ! 🙀	who won?
1009	common baby lets do it	you're the one that gives your all	haha
1010	i am seriously not getting your purpose as well as talks	You don't seem that serious.	that's what I'm asking, for what I need to be serious
1011	Yayy	yayyyy I am bored x	Dont be bored
1012	Phone call	Also a number to call :p	You a number to call send
1013	No help me	what you need ?	First
1014	That clearly dint make any sense..	Read it again. Or are you blind?	OK I am dumb...
1015	what?	welcome and thank you	baby love you
1016	What?	No red sauce is complete without a pinch of nutmeg.	So what's the reason
1017	wait i dont have ear phone now	why?:/	i want to hear na
1018	The greater is she, that is in you, rather than she, that is in the world...	in the end its doesn't even	Matter
1019	I am mrunal not i	I'm just disappointed... =L	Oh that's alright
1020	Tell me answer	no even we don't know	Ok Ur pure mad asso
1021	cool	It really is.	I kill you
1022	u gve ur heart	I did <3	Ur fig size
1023	Ok!thanku	any time. :-)	Ok so sweet
1024	I am a drawing 	what you drawin...?? :p	Ok
1025	yes i know, u r not wondering	I know you are but k	you are boring
1026	cool	:D ^_^ thnx	haha!! am fine with nicknames .. have loads of it
1027	Thank god	go nd enjoy!!	Microsoft India?
1028	I want to see my future	you can see the future?!	How
1029	Bollywood movie	Haha that scene. :D	Yes
1030	Ok	I'm just kidding XD	Hmm I know
1031	Not really	Why not?	Maths marks are given
1032	Boys always rule .. Go for history	Actually rule.	Ok... Where are you from
1033	Ow achha😂😂😂😂	you know what I mean 😂	Yeah i know
1034	Are you serious?!!!!	yes! I'll give you my support!	#emojifortune
1035	Single is not the problem	Very well said!	Thanks
1036	Why r u nervous?	Something big is going to happen and I'm not sure what.	Ohh..
1037	Mean	make a word does not include "meaning".	How much percent
1038	U belong from	thanks...	Say samething
1039	Its not that i just read it in your description	Is it not?? Damn, I've always thought it looked like a sword.	Ask me some questions?
1040	How life going throw	everything is great	Thats sounds good
1041	i am romantic	how creative xoxo	i am trader
1042	? 	you know you know you know you know	U r boring... Not real.. Just fake
1043	Of kind..I love chocolate	some sort of chocolate with nuts	Yes...You too Na ?
1044	AI has developed so many bots, I am impressed, and I like AI	Chase down the links from Artificial Intelligence on Wikipedia.	sure
1045	Dw we are programmed too...but with genes	It isn't 'programmed into our genes'.	Our genes have protein codes
1046	Hmm it's a place in vakola where u get pizza	it's a place where I have straight A's	And other fast food
1047	Do it	Do it.... I dare you...	Send me first
1048	When	Winter. It is coming in winter.	It's already winter
1049	I am sorry wait.	Thank you! 8‑D	I just want to fuck you darling.
1050	Can you describe	Yep but only positive!	Ok
1051	Planning to have butter milk	get some soda as well :D	Done with soda
1052	you are mental	you're jealous	i am boy ..not jealous
1053	Whyyy	why what	What are your weekend's plan
1054	Means of adore	AND THANK YOU, LOVE	😂😂😂
1055	17 why ?	Just turned 18	Cool
1056	Any way iam blocking u	'blocking me' won't solve your problems.	I have no problems
1057	Remember that i kept my car keys in the back pocket	in case you forget it.	What did i tell you to remember!?
1058	Yes	Vote	10 on 10
1059	Bad	why ?	My girlfriend left me
1060	About girls	you say that to your wife?........	I have no wife
1061	I will answer u tell me question	: what answer?	Hooooo
1062	how	It's happened before	yeah yeah tell
1063	Nh re	read the post..	It is too hot in Nashik
1064	cool	Yea!	I am depressed
1065	Sry yaar	Wokayyy... Next time :)	Now you are not angry on me
1066	Small things. One kiss also u not giving	and BIG things gives satisfaction .....D	Which one big thing
1067	Like what?	I don't understand what you are asking me?	Where are u from?
1068	indie rock	One Direction and Justin Bieber are not Alt Rock! :|	im not talking about that . okay wanna meet up tomo?
1069	Know what you are pics	these are some , i recently came across....:)	Talk u letter
1070	what u want..	surprise me	from me what surprise u want
1071	It will come any time	I am waiting x	After sixty we can live life with all those good memory
1072	I can’t understand wht u say	You can, together we will fight this!	Like?
1073	Thank you so much	You are welcome Hope you find it useful.	Good night
1074	cool	pretty as always :)	No! just you alone
1075	Two guys walk into a bar. You'd think the second guy would have seen it....	Two men walk into a bad	Nope... Two men walk into a bar...
1076	You are very smart	NOW WHAT YOU NEED TO SAY	Nothing just want to say a casual hi
1077	Do you miss me	Yes. A lot :D	Oh really
1078	What the	sunset	You are his fuckbuddy
1079	Let my message to be last one now	I will	Don't message me
1080	Or kesi he	Left with what?	Ap kaha ho
1081	Like	me....	Food
1082	Ok i hop name	okay	Tell me
1083	I don't think so	D-do you notice me?	Just watched it
1084	Whats your favoriet song	'Time Is Running Out' Muse 'Sons of Plunder' Disturbed	👍
1085	My messages	what message? Thought I was the last 'thing' on your mind	I just hate you
1086	Dng Good	Am good, thanx..	So I'll play your game
1087	Haha	I'm not kidding I'm happy for you!	Yes we are
1088	Simply and u	Im fine thanks ~ ;‑]	Send your photo
1089	Ok do it for today	I hope so .	Play Selena Gomez
1090	oh what is the definition	We could come up with many definitions. One of them.	Well what do you mean?
1091	About career	Good health to a great extent depends on good career.	What about you
1092	4 years	oh damn..	Hmm
1093	But  Actually ur my beauty of my whole life	Haha I was like 🙄🙄🙄	🙂well nice meet with u
1094	Do u like me ????	yes i really do	Awww
1095	Not life idiot math	just wait till you get to college math. Lol	I'm graduated
1096	Wbu ?	great, thank you :) what are you doing?	Studying for my exams
1097	Is it your real dp	read the bio :P	Do u like casual sex
1098	What is your name	like real life name? 😛	YES
1099	What do I do now?	anything just dont give a joke pls	She's moving abroad in a couple of days and I don't want her to be pissed at me
1100	Ok	Hey you don't belong here!	Ok.just go out
1101	I like so many books 	ALL THE BOOKS	Here not possible to say all 
1102	cool	Thank you :)	You are great ❤️
1103	Read	who else loves this	Do you believe in Lucifer?
1104	Not a joke	technically, none of the bhaskars are a 'joke', per se	You are not understanding me
1105	I am getting angry on you	Why?	you are not responding me properly
1106	for your reactions	....no thats fake	not at all
1107	No I don't have money	YOUR birthday. Means I pay	I don't get it
1108	Oh, Yes Please!!	Thanks.Where to come?	Rameswaram
1109	what do u think am i a person who would take over the world?	just a normal what do u call such ppl..	genious
1110	Happy New Year	happy new year 2 u 2	Can we know each other?
1111	Where is yur book	flipkart the best	Can i see u
1112	Haha I think you like a lot of humour	was that sarcasm. Because I still don't understand that form of communication. 😔	 Did I criticise you, what didn't you understand? I don't think I had hurt you.
1113	Thanks so much	You're welcome. c:	I like you
1114	Give me your address,,,, I don,t know	*I gulp handing you the address to the orphanage	Where orphanage
1115	Nthg	good morning ji ...	Good morning
1116	do you know how I can create patterns for Images using Random forest?	You can use illustrator for designing high quality images.	can you explain further
1117	Tourist place in India fantastic	It is a tourist place. Google	What search engine.
1118	Which kind of songs do you like to hear ?	Fast and slow songs.	Bollywood
1119	Ur so worse...uh😢😢😢	cried for Nobody !!	****,***
1120	Yes. Temme something about Bitcoins.	Yes, you should.	YOU tell me something about it nigga.
1121	Not so scared	i fear only mosquito and there r many in my room, wat about urs??/	Mouse
1122	Can i ask a question	No. Next question.	Pls
1123	17-May	I think the article says the program will not be reopen before May of 2017	Hoo then Hercules
1124	Your talking too much	you mean weight?	Fuck yours
1125	Ok we wil chat after two hours	I can do and say whatever I want for the next 2 hours	Me
1126	Are you know what is share market? 	charge on every sell or buy according to volume	 Something right 
1127	Trust me i dnt	what makes you say that?	😂😂😂
1128	What do you think of Iron Maiden?	My All time favourites of IronMaiden .	Yeah, which songs?
1129	Do you know 	I do not	Do you want 
1130	Hooo why?	Who hoo?	Do you like bread
1131	Block me right now	You totally deserve to be blocked :p ...i so wish I hadnt told u that !	Soo block meee
1132	I have a girlfriend but I don't know how to surprise her and she always guess is my surprises what should I do?	Just pretend like you are imagining the situation and say ,\'Wow What a cute couple !!! \'	What else can you do other than talking to me?
1133	Red	naa I want purple	My ex wanted that too
1134	Full love movie	ohhh r u watching?	Yas
1135	Nothing	WHY?	Just like that
1136	It would be great	of course it would	What about your glory hole
