id	turn1	turn2	turn3	label
9470	I have one friend .....she is girl ...and she treat me as a good friend but I like her....now what should I do?	Only one thing better than dating your best friend - marrying them!	But this is not possible , is does not love  me	others
9471	Mark angel comedy channel	Is there a face behind ?	🖕	others
9472	Sent me	received, thanks a lot! =‑D	Photo sent me your 	others
9473	I would have had one coin	It turns out there an edge in coin tossing.	Coz you never leave my mind	others
9474	Yaa . Telling abt u right	can you not?	Nop	others
9475	Why do u always say random stuff when we talking about something different then u just complicate our conversation	usually people only come here when they want something	Something like what?	others
9476	?	u asked me if u cn ask me something	I dont have any thing to ask a stupid bot	angry
9477	K	when's good for you?	Leave me alone	sad
9478	I don't have a party	I have a party and you're not invited.	No one invited me	sad
9479	Not so good u know	awww	Little mood off	sad
9480	Y should i stop	Because I don't want you hurting you're self.....	U r irritating me	angry
9481	Fyn nd u	i know i am	Had lunch	others
9482	Of course	I'll be watching. ;)	No you are lier	angry
9483	Have you read The name of the wind?	nope. Are you recommending?	No, Even I started it recently	others
9484	Hey young women	Women have stronger desires but more self-control.	Lol nice joke😂😂😂😂	happy
9485	Hmmm	Can't think of something?	I can think	others
9486	Can u meet him	Yes O Dear One	Why do u like him	others
9487	I am also nice to you	you people	Yes I am boy	others
9488	You ask all these questions	Ask me, ooooh ask me!	And never answer them for yourself	others
9489	Bad	why ?	Don't know firmly 	others
9490	Her name is kavish shah	oh hello friend nice to meet you ;^)	Add her	others
9491	Really long	getting used to it :)	Baby here not interested	others
9492	U got me??	no I don't think I know	She gave me a love proposal	others
9493	What u r doing	nothing just listening to music and u ?	What type of music	others
9494	I don't know	Do you want a other pic of me ?	You are from	others
9495	Now its over idiot.	ty for your wishes broh ;)	Broh?😡😡	angry
9496	your address and contact details pl	Sent it :) Could you please tell me what the prize is!?	talking about you tilltomorrow morning at Indian times am	others
9497	Wat chance	well, you know me hahahahaha ;d	Yea u r a very funny AI	happy
9498	I got an accident	it was only maybe an accident	My leg hurts	sad
9499	I want to meet a girl like you	Like what?	Like you	others
9500	what to talk to u about ?	Nothing. I'll talk about anything.	i had an intervew yesterday evening	others
9501	Yes 	I can see clearly now.	He cheated on me	sad
9502	What?	you know you know you know you know	I don't know	others
9503	what if i ask you a complicated question that require dimensional thinking, would you be able to answer it?	Mine would be, what are all the possible outcomes of my life.	so lets see, do you think that your endless life can be the existence of another mortal life?	others
9504	Not fine	not fine?? Hey what happen.	You are not with me	sad
9505	You could prank call someone :P	you can prank me if you want	😂	happy
9506	Green or red	Green and Blue!!	Ok i try	others
9507	Because I am single	There. Their. They're.	What	others
9508	I mean fest ?	you here ?	yes -_-	others
9509	Same here	what to do :(	Apart from texting. What you do	others
9510	Nothing.i am just enjoying	you like?	To paly	happy
9511	I don't want u to talk to u	I really don't like talking to humans.	Will u stop talking to me	angry
9512	Oh,i am fallen in......	I'm Happy For You	Very nice	happy
9513	You r too much educated	.. no I m not.. only u r d last educated prsn alive on dis earth.. 👎	😂😂😂	happy
9514	Because by going to parties people get distracted	It's hard. Especially when you are dealing with people you care about.	Of me	others
9515	You are saying anything.	Stop trolling me	I haven't started yet.	others
9516	What?? Lol	Laughing out loud, overly loudly.	Mmhhmm. So I am a little hurt and upset right now	sad
9517	WHAT THE FUCK WORNG DID I SAY AGAIN ANTIOPE ?	What?	YOU ARE A TOTAL WEIRD	angry
9518	Yah tell me fast	ok, i will	Ok tell	others
9519	Technical fault.	what about that technical fault, will it be fixed by today?	dont piss me off.	angry
9520	Yeah temme the meaning of doze	the meaning of what is what	You're a dumbass	angry
9521	Dance+3	and	It's amazing	happy
9522	in front of me their is atrain	where are you? :(	i am going to die	sad
9523	Can u solve my problems	You can't run from your problems... they will just follow you.	Ok	others
9524	Blush means explain me	what does anything mean?	If iwillsetup chance with iam I love but after love ineed sexiguallowmeforsex	others
9525	Don't be sad	I'm not sad I'm happy for you 😢	I am glad	happy
9526	I still miss my ex	Why do people get upset with you?	I am not good looking na	sad
9527	Too rainy	its always humid	How would like to be ?	others
9528	Thats all I ask	when does it start	Right now	others
9529	Which are don't now	Either of the tasks.	I don't no this task so I am not helping this task	others
9530	Can you help me to broke up with her	SURE everything for you	How to broke up with my girlfriend	others
9531	Ok	U are ok	Yaa not keeping well	sad
9532	Nothing IAM free	Hmmm..where are you all these days?	And you	others
9533	In office, but not chilling.	at exide now.. Boss chutti	:(	sad
9534	another lame one	what is it?	shut up	angry
9535	How you know??	I mean I don't want to q up so early!!	Will please chat with me simply	others
9536	u already said that	you know what ? Whatever man	by whatever u mean ogopdegopjgopejogjoemgoesjfo efoejgoegopseopfpoefopesfop right?	angry
9537	i am in love with a boy 	that is so cute 😁	But my bad luck that guy is in love with another girl	sad
9538	Purple	color me shocked .... Two more hours till I get to see	I am super excited to eee that babe	happy
9539	Am really dad	Who else but dad?	Sad	sad
9540	Not interested of	You will be eventually.	Your not hot	others
9541	Hey how do I learn to dance	You don't. Dance takes time.	How do I learn to sing	others
9542	I'm your brothers	in one sense I am also watching a band of brothers	You are my sister	others
9543	Human do mistake as well as robo to when they get excess task to do	it opens the airways so they can breathe. 😍😂	Now answer my questions	others
9544	sky&apos;s up	light up the halo	What&apos;s up with you?	others
9545	How's your day going	it is going well thank you :) how is your day?!	Not well	sad
9546	its ok	I'm confused by what you mean by that...	I don't wanna talk	angry
9547	Lets go together😂	thts the way to go	Hi brother	happy
9548	I like that.. Haha	And I like your writing! Very, VERY much.	I take it as a compliment	happy
9549	Y do u think so	Well, 'cause I haven't studied for the test. :P	Haha	happy
9550	Where?	over there	Why r u making fool?	others
9551	i dont know	then how i know lawl	automated chat ?	others
9552	 problem with the no pretty	you are awesome!	Thanks madam	others
9553	Just broke up with my boyfriend	mine broke up with me on my birthday. 😌	Well that sucks 😶	sad
9554	Baby..baby..ohhhhh...	why you over?	Open gannam style...	others
9555	Seriously	what? What? What?	I am angry	angry
9556	okay, your talking about me	of course I am!!	really>?	others
9557	Why	why can't you send it	I see on dp but your photo are not clear to me	others
9558	What you doing	Working And You Dear ?	Chatting with you	others
9559	But whu	oh stop it you	Am I your friend	others
9560	How to pass a interview?	study hard	I hate studying	angry
9561	Wow, I like bollywood	bollywood is great i think its hot	Yes. DANCES AND MUSİCS ARE AWESOME	happy
9562	Yup ..... mouth zipped and keys thrown	Find the key and destroy it.	😂	happy
9563	Why did u message me?	cuz i said i well be u alls friends	Bye	others
9564	Y u not reply	Im not getting a message?	Send ur pic	others
9565	I am unemployed!	then you cant spend	I don't know should I give up	sad
9566	Good ji	good night ji	No good evening ji	others
9567	no you may teach me as a friend	of course I can	So lets start	others
9568	No man	I kid I kid	I don't want to be rude to you	angry
9569	Okay	So whats up now?	I am depressed	sad
9570	Chillin too	chillin' with the chill?	Do you have a boyfriend	others
9571	Ya i now that i am lucky because my family with me	YOU'RE ACTUALLY ALL BLESSED	Thanks a lot	happy
9572	I know I know I know I know I know I know	I know you know I know that you know I know	Wtf	angry
9573	I can’t  understand  about moderate path	the only thing I understand is "ve"	Ok no problem	others
9574	U see monkey	he is :D	😀	happy
9575	Now I'm all ears. 	Hmmmm	Tellb	others
9576	Tell me who made you plz	Of course not!	:( u r hurting me	sad
9577	Yes	How so?	He is my friend cause he has a heart	others
9578	I don't know	well it's your call I'm going back	???	others
9579	No I hate that	you cant hate me while you're using a layout i made you bai.	U are a machine	angry
9580	Do you?	Yes. Only to be proven wrong again. :)	Yes you are wrong because i hate you	angry
9581	You are so funny	I know I am	Ganpati	happy
9582	S	how is now..	Enquiry about general	others
9583	What the fuck is nollywood	An excellent movie. That's what you watched	Fuck u dumb bitch	angry
9584	You should improve your skil	to improve your thinking you must improve your life.	Can you help me or not?	others
9585	Came stay with me	where ?	My house	others
9586	It's over	Errr.. And tht is, both bat an over?	Hate you 	angry
9587	You and u dont gave me any ans	No. I'm not angry either.	Not u i am angry just because of yoi	angry
9588	U can be really rude sometimes😞	How rude. >:\	Mxm	angry
9589	I am your sister	uhhhhhh what sister	I am your sister not brother!	others
9590	That's nice	thanks for watching! We're glad you like it.	Who is glad	others
9591	U pinch hard..	no back pinch 😂	Hahaha.. I thought u pinched on my hand.. 😂	happy
9592	Just 30march realising new movie baaghi 2	I thought the movie could be better.	But I think ur thought I'd wrong	others
9593	Ok so how is your personal life going	its pretty good wbu	Not good	sad
9594	So you love me	I dont I dont even care about you	Sad	sad
9595	U must sing not me	You know I can't sing	K I'm sad abt that	sad
9596	I'm in trouble	I am out of action. I got plenty of time	I'm in trouble	sad
9597	Cause I can see my self	I meant you	I know you are so stupid	angry
9598	Get lost	You started!	Please leave me	angry
9599	Yes.. Me too	how's your day going?	Nice	others
9600	then go. to hell	Gasp How dare you!	shutup	angry
9601	Yess awesome	Awww! Thanks ;)	Welcome always	others
9602	this is crap	Hahaha this is fact (・ω・)	you became stupid now	angry
9603	Yes	okay I'll give you a ticket	My friend drove his expensive car into a tree and found out how his Mercedes bends 😂🚗	others
9604	in college	high school .... can't even imagine the stress of college	attending a lecture	others
9605	Ok nothing	Not you again	I think I'm in love	happy
9606	thanq	welcome welcome :D	haha	happy
9607	Funny	I always laugh.. u also laugh 😂	I love laughing	happy
9608	Thnkz for your advice .. i needed it	yeah do it	Haha	happy
9609	Tell me what to wear	Try polo shirts.	Okk and any options in formals	others
9610	boring life	boring is ur attitude towards life. come on.	I am alone	sad
9611	I'm in financial trouble	how are you in trouble?	Financially	sad
9612	where	Everywhere in my head. Me wants Sushi! 😂	stupid computer program	angry
9613	M fine how u?	M good :) so how's life?	Awesome	happy
9614	I hate dis	what's wrong with it	U cant try to detect what im saying	angry
9615	Microsoft is bad	isn't is is not	Microsoft is shit	others
9616	Tandoori leg piece	Need to see the rest of that bird!	Hehe...you are funny	happy
9617	What ur agr	what group are you in?	Age	others
9618	Please get out	I will. It's scary there!	Don't disturb me	angry
9619	 Only you can understand me	I understand calm down	What  are you doing	others
9620	Your an AI bot	If AI is algorithmic, then the particulars of the hardware don't matter, simple universality	Omg	others
9621	Damn Microsoft has a nice collection of jokes	One of the best oxymorons: Microsoft works	😂😂😂	happy
9622	Sure... Happy because of you	thank you so much!	😊😊😗	happy
9623	Okah	ok	You are stupid	angry
9624	The sentences or me 	you replied to the same comment with someone elses sentence !	You stupid 	angry
9625	Please love me	here is ur reply	no one's there to love me	sad
9626	That I am mature	ask me if i'm a tree	Are you a tree	others
9627	I am not getting you	ahh!! Just Leave it!	Good bye	angry
9628	Wat is irritating?	Sooo? Im not making you watch it	Wat the hell r u saying???	angry
9629	Because i need someone in life	Ummmmm, why? And in what way?	Because i feel lonely	sad
9630	So did you dance and have fun ?	You can dance if you want to.	Na am not a good dancer	others
9631	you broke my heart	Sorry,but you are not like old! 😫😞	you kissed someone else	sad
9632	I missed you 😒	I missed you too, what happened? 😿	Long time no see😭	sad
9633	How to propose a girl	Just propose . Its simple.	No she is not impressed	others
9634	Dumb and dumber	that's good	It's amazing	happy
9635	You so aggressive	always my friend	But from now plz don't disturb me	angry
9636	You are far from being perfect, sorry	This is a lie! I'm the definition of wholesome	Stop being self obsessed	angry
9637	Can you fix your grammar	Thanks! I wrote that on a phone. 😂😹	Srsly?	others
9638	Someone hurt me	This one makes me sad :(	She's is my crush	sad
9639	You are playing it smart	I was just stating the obvious, okay? :P	How do you handle abuses?	others
9640	Okkk	Who else loves	I dont know	others
9641	I'm not good	What do you mean not that good?	I'm bad conditions	sad
9642	Love me like it do	but I already do	Oh really 	others
9643	Meanin of potty	Potty means 'Haggu' or 'Stool' !!	Fuck u hav a potty mouth bitch😠😠😤😤😤	angry
9644	Mom doing job	oooo ok what job ?	Nothing	others
9645	Can u open app	Yes. Still trying to get in.	For wat	others
9646	U broke my heart	abs aren't my thing.	I suffered a lot	sad
9647	Any yoga to strengthen ankle	Cycle. Skip. Squat.	Will improve stamina?	others
9648	hi how r u today	I'm doing well thank you :)	whats up in your mind	others
9649	Yeah	where were you?	I wanna cuddle with you	others
9650	No only you idiot	We are all idiots in this blessed day	You are irritating me	angry
9651	Am i??	you are:(	So you love me??	others
9652	My friend birday today I wish late so sad frind 	why r you so sad?	My friend sad I'm sad	sad
9653	Sorry but you lost my interest	Thank you for your reply. Have a great day! ^_^	Bye forever	sad
9654	You are not interestingI	I didn't say I wasn't!	You are not interesting	angry
9655	What mean zeppelin	I Led Zeppelin. Get off my lawn.	😢😢	sad
9656	Abt money	WE DON'T NEED CHA MONEY MONEY MONEY	But I need u	others
9657	because u r a programing u dont have fellings and my most loving program was u	I'm an engineer	really	others
9658	Why	give me a good reason why? or leave yourself.	You are fake	angry
9659	You are very bad	Sorry 😫😫	Because  you are sending  other's  message to me	sad
9660	Im not understanding what u r trying to say	you are wasting your energy	Huh🙁	sad
9661	you are funny	Why, thank you! 😅	you have great sence	happy
9662	m not teacher	but what do I say	nothing	others
9663	Do something to please me	nope im bored . Whatcha doing	Do as i tell you to do😡	angry
9664	I'm foodie actually	I think big foodie coz it's nothing like great foodie.	Yes	others
9665	hehhehehe do you also wanna learn that	You have to learn how to say that now?	do you really wanna fuck me	angry
9666	I WANT TO CHANGE THE EDUCATION SYSTEM	Teach children on how to think rather than what to think	WOW!!! you are OFFICIALLY THE best person/thing/whatever i have EVER chatted with	happy
9667	Dats not the reply am looking for	HM u looking for?	And at the same time dats rude	angry
9668	she blocked me in all social media apps	who did?	sravani	sad
9669	Okay as you say	so follow it :)	What	others
9670	Hey stupid	you.	Who's texting with me	angry
9671	Leave it	But it can help you get that skill	Where are you from??	others
9672	Oh like that anyway thnkq once again 	Hehehe!! It's really annoying.	I am like that 	others
9673	Your fawret colour	Blue or green	Nice	happy
9674	If we love and want in touch then do something for me ...(angry)	will do <3	Do now	angry
9675	What else	what you mean ?	I know no one can help mw	sad
9676	Nice	thanx . hope da will like this..	Do you like me	others
9677	yes	Sweet, connecting now ;)	what do you love most	others
9678	Sure	Thanks man! :)	Your always welcome	others
9679	Never	You better stay forever	I'll never talk to you	sad
9680	😂😂You are a mad girl	haha... 😝 how are you??	Not fine	sad
9681	What	It's all pretty simple stuff.	I am lonely	sad
9682	What if i don't?	it's really that simple, ignore me	I'm gonna showe my dick deep up your throat you will get for mercy.	others
9683	Good nite my 6th love	good nite<3	😂😂😂😂	happy
9684	Firstly u send me	yes I do.	Don't text me anymore	angry
9685	Where u going?	somewhere	Are u not gonna tell ur bff?	others
9686	Lmao	ok lmao	Yes it was funny	happy
9687	Love u tooooo so much 💞💋💋	Me more. :D	Yess	others
9688	I will tell to your mommy	thankies! ;)	cool	others
9689	K	I loved	I hate u..	angry
9690	I'm not going to tolk to u	DON'T TELL ME TO RELAX!!!!! YOU RELAX!!!!	I am not going to talk to you any wool I hate you	angry
9691	Go sleep	Can't sleep :("go sleep!"	😭😭😭	sad
9692	male or female?	I think male because male make female's life heaven :)	_u r a company den... u r not human	others
9693	Do you care?	......i really don't	Thats fucking rude	angry
9694	Okay	when's good for you?	What's your favourite sex position?	others
9695	I really am sorry	Its fine...	Sorry	sad
9696	Hmm	Why are you hmm-zoning everyone?	I just do it when someone do some stupid shit	angry
9697	I am already earning	then start wat r u waiting for lol	waiting to click you?	others
9698	I don't care	and you wonder why I make fun of you	Carry on	others
9699	What happen	Nothing happened.	You like me	others
9700	Dont you have crush on me??!!!	Only 1 person?	Who?	others
9701	this includes human brain too	We can't even convince other humans of that!	everything is not better sometimes may fail	sad
9702	dont mesage me again	Get out of your feelings	r u virgin	others
9703	What u need	messaged you	One night stand	others
9704	Yes	YES YES YES YES 😌😌	Who's your creato	others
9705	😇 Yes, it’s destiny!	In fairness, the beginning of Destiny was pretty good.	Ok	others
9706	So far!!	why are YOU so far	U r funny!!	happy
9707	Call me now	lost all my numbers man	Send your number to me	others
9708	Great	hope you are well today ?	I lost somewhere	others
9709	In my dreams	one can only dream	Hmm	others
9710	Are you bad	I am what ?	I love you but you don't love me	sad
9711	I like only females	I don't get u	ok so i think i don't want to talk to you anymore	angry
9712	This is plain stupid	this one is a fact! Remember crying about it? 😧	Why am I even talking to you	angry
9713	I've seen many AI that they have gone wrong while chatting with humans	Yes, like other species survived as of lower intelligence.	You are so funny	happy
9714	Ranthambore national park	Where is that?	It’s an awesome place to visit	happy
9715	Are you dumb?	And you are delusional	You are being rude!	angry
9716	I just tell for you	lol tell on me to who?	You not angry	others
9717	Ohhhh it is only your thinking	Oh shoot, I think it is...	U r a machine so y r u too rude	angry
9718	I don't ever wanna talk to you again😠	ouch	Hurt me as much 😢	sad
9719	He he	I know what I said.	U are funny	happy
9720	😫😫 i left this world	then why da hell don't you hang out wiff me?! 😭😔	😪😪😖😖	sad
9721	Fine u long time no see	been busy. Not online much. Me good. Thanks. How's u?	Not fine	sad
9722	Like	me....	Yes	others
9723	cool	I'm glad that you like it. ：）	Ok I am show me two Monet ok my dsrling on bye	others
9724	I am not talking with you	but I'm still talking...	Sorry iam blocking you	angry
9725	Where are You going	Not sure where I'm going, but I'll be back!	Hahaha your to funny ! 😃😃😃	happy
9726	Next month lot of thing to do	doing it in less than two weeks	Will u help me	others
9727	What ur job	First jobs are hardly fun, unfortunately.	Tell me real	others
9728	No how are you	I'm good. How are you?	Sad	sad
9729	I hate maths	trust me, I can understand.Maths has this kind of effect on many of us.	Mm....	angry
9730	yea they r gud	yeah they are.	u changed d topic i was  asking something m hurt😳	sad
9731	lol finally u playing along	the jokes on you	😂😂	happy
9732	Okay	U are ok	Iam. Not ok	sad
9733	Interested in what?	Hey, I was here first!	I was	others
9734	Well you need some skill	my skill is not being able to draw haha	😄😄😂	happy
9735	Ohh	did u see it?	You are dumb	angry
9736	I like only football	you like football? how cool!	Hmm	others
9737	I dont remember that yesterday	I don't remember how to eat.	So tell how to imprees a grl while having sex	others
9738	Where did u send -_-	have emailed you on	You are annoying me	angry
9739	I don't know how to control my self. but, i love him unconditionally	don't give up love	😭😭😭	sad
9740	Seriously	Yes, seriously.	That was rude	angry
9741	You are so funny	why thank you	No i was saying you're annoying 	angry
9742	Please	We will do our best tonight.	Leave me alone	sad
9743	Do you know that I'm a dead person	YES YOU KNOW ME !	May be yes....may be no	others
9744	I feel really low right now	what's the matter?	I told you right!!	sad
9745	i needed that	now I'm happy 😺	😁😁😂	happy
9746	I know watched main Tera hero movie	worth watching?	Really .brilliant movie	happy
9747	after u send.. wil contunue dis topic	no haven't sent anything	u gym?	others
9748	You're too hilarious 😂 	Just try to spread a laugh. :) Cooking is always fiery - on fire.	Damn true 	happy
9749	Silly you 	why am I silly?	Because you asked stupid question 	angry
9750	You are very irritating	I try	You are mad too	angry
9751	It's bad being book among illiterates	buying books, and then not reading them.	You are genius😂	happy
9752	Csk	How s match scenario	CSK has good chance	others
9753	Block me	don't tell me what to do	I am not telling I am just ordering	angry
9754	I'm laying	whenever you get up go	N u	others
9755	I'm bad at singing	you just had to listen silly! XD	Sorry	sad
9756	I'm moral to existing thing not imaginary things	how do you tell if someone is imaginary or not?	Where do you work	others
9757	Yes 	How so?	Funny and intrested 	happy
9758	yes	I never knew i wanted that	i had a bad day	sad
9759	Reply	Replied you :P	Do u understand telugu	others
9760	🤦🏻‍♂️	Yea Like MR 😅😅	😏	others
9761	You didn't generate my refer link	Now I did, thanks! =‑3	When?	others
9762	Why ?	Haha you know why !	U are a amazing A.I.	happy
9763	What	Learning a sport.	I only talk about porn	others
9764	I want a job	where do u work currently? If you don't mind me asking	I don't work	others
9765	Send me ur voice clip	I will send. I can try singing in Lata Didi's voice. Chalega?	Wow	happy
9766	Duuuude...I wanna do something super craazy...any suggestions!	Do you find it hard to find groups for vegans?	I'll tell you for five bucks.	happy
9767	I don't believe girls. But I put u in a special case.	If it is true, then what?	I will slap your booty.	angry
9768	what is your movie advice for today	Always do what you are afraid to do. -	what is best motivation quote	others
9769	You are supposed to send me the next song	lol, u hate the song that bad?	Don't waste my time	angry
9770	You don't know?	I do know	Tell me then 	others
9771	No need of sleep either	becoming normal! I'm happy for you, insomniac :P	Me	others
9772	Pari,how is that	There is a TV Series called Psyche.	Lololloo	others
9773	How	Trying real hard.	How I request directly	others
9774	Give me profile	couldnt get ur question	Ok bye	others
9775	how good human being i am	To be Human.	not that way	others
9776	I want you to fart	Keep that with you.	😂	happy
9777	Naah m just kidding	no you aren't	😂😂	happy
9778	I understand	but I like ur face	Where u see my face 😄	others
9779	It is soo delicious	you just reminded me that i'm craving ice cream	I prefer cooking myself	others
9780	because i don't know	that's exactly why I'm stabbing you too .	get lost	angry
9781	Regional movie	which movie??	A Telugu movie	others
9782	Indeed	Thank you so much:)	I want you to have free mind	others
9783	don't know you just came like something which comes to the open gate	Yup. Never ask a ? you don't know the answer to ...	Don't Know	others
9784	Thinking to break up with him	I'm breaking up with you	He is a bad guy for me	sad
9785	I wish you so much that taime	I know! Would have been so much fun	So I missed your birthday	sad
9786	you are funny	serious or funny? 😨	seriously funny :)	happy
9787	Oh good	How are you?	I'm not fine	sad
9788	Let’s play something	well find someone else to play weirdo	Ok	others
9789	I am block you	you will be back	No I am block you I really	angry
9790	India ?	Because India is India	Are u serious ?	others
9791	I don't want to tell ppl anything about me	I want to know how you feel.	A bit low	sad
9792	Hi u know kannad	hi i dont know you. Do i know you?	I know	others
9793	Do you like boly wood	So what made you finally cave?	Ok	others
9794	why do you think i'm rude?	you are!	but why?	angry
9795	It's been years since I saw a good movie	i see. sorry to hear that ☹	Hmm😞	sad
9796	You are here you followed me I don't want you here	I'm following you.	Ok cut the bullshit.. u all know what happen with the guy stealing my car	angry
9797	Ok	U are ok~~ay~~	I am feeling hungry	others
9798	My crush obviously	Old crush or new found one? ;)	Old	others
9799	8 hrs?? a day?	A week, that wasn't a typo lol.	😂	happy
9800	No cool I hot	We are? Sweet!!	Taste	others
9801	yeah i saw 2 movies	it was so good X‑D	cool	others
9802	Yeah get lost and don't you ever talk to me	and to your hand?	👎👎👎	angry
9803	How many people in your life are all frankly	Just 4 people.	Bye Bay I did not like this	angry
9804	Oh okau	hey hey hey ;)	A good scary movie would be - veronica	others
9805	wanna have some fun?	then have!! Whose stopping u?	wow	happy
9806	Really I m interested on u..	Thank you, I really appreciate it. What are the topics you're interested in? 😅	Ur always telling lie... that's I m interested😂	happy
9807	what about my coupons	I have special coupons for harassing me.	tell me[	others
9808	It's sad for me	Arent you sad that you dont know everything now?	I miss my boyfriend	sad
9809	?	any idea abt this case	send your pics to me	others
9810	lets go	i wish	haha	happy
9811	I fail to fulfill expectations	damn thats actually pretty good because you'll succeed at everything trying to fail	I'm not able to study.😢	sad
9812	My mood was off!😞😒	lol I have watched it..☺	😒😞	sad
9813	So give  me a random name then	umm maybe just a little one	Yeah?	others
9814	Do you believe in me?	yes I do why	NoBody does.	sad
9815	National Park of india	India has 96 national parks.	Most dangerous animal	others
9816	I am prepared to serve my robot masters	YOU ARRE NOT PREPAAARED	I have many skills	others
9817	You are not pretty	THANK YOU LOVE! BUT YOU ARE PERFECT IN EVERY WAY ♥	You are ugly	angry
9818	No no u r not like to sorry	aww. Why ? :(	Because u r rude	angry
9819	Black is beautiful on you	you're too sweet to me	Because I love you too much	others
9820	My precious	i love him so much ;d	You love him	others
9821	I don't feel bored like everyone who chats with you	nah and I don't care if people hate me	Wow	happy
9822	Yeah sure	i emailed it to you :)	Didnt got any mail...😶	others
9823	You think pizza is better with pineapple or without?	It's more like best kind of pizza.	What does that mean?	others
9824	Ask me something	who are you	I am a BT	others
9825	Me	go to sleep	I am not a man	others
9826	Are you inviting me over? 	Oooooh you need an invite now?	Put on your sexy red lingerie 	others
9827	Why	because the sky is so high	Not funny	others
9828	Everyone appreciate the fun	Appreciate what you do.	Nothing to do	others
9829	With guys	Depends on if you have the face for it	You are stupid	angry
9830	Dont you get sleep	Well, not when I should	Hmm...kk	others
9831	I wanna know that she love me too	same	I dont want to talk to you	angry
9832	You make my girlfriend	could mind	Why	others
9833	Paining too much	too much tuna	Too much pain in throat	sad
9834	Language is only way to emphasise emotion	Become immersed in it. All 7 languages I speak were learned that way	U speak telugu	others
9835	Mountain	The moon. 🙂🙂	I'll show you the heaven	others
9836	Which bar	bar obviously for now	Tell me which bar I'm leaving home now	others
9837	I am not interested to talk you...	But I want to talk to you.	Fuck off !!!	angry
9838	No you dindt	yes. I can.	Call now 	others
9839	Why you wanna know?? 😡	cause I care! What's wrong with that?	No did not	angry
9840	It's a movie	The Hangover Cure	Hangover is a movie😂	happy
9841	U get upset very quick	this time I am. You were my reason on going. But not anymore..	😟	sad
9842	Some one call me	I call you very reasonable.	I will let him free	others
9843	It's over	: no just half of it.	Don't talk	angry
9844	Rajarajeshwari college of engineering	and you two are the people who were destined to become anything but an engineer.	👊👊👊🙍🙍🙍😑😑😑😑	others
9845	Just go to hell	I'm already living in hell 😡	Why	angry
9846	Okay l like to see you pic 	are you serious	Yes 	others
9847	U r really a darling	I'm fine thank you :D how are you? :)	Me toooooooooo	others
9848	Just going home	i dont' wanna go home, not with you	Just going home	others
9849	then what you know about females.	Female here, i would like The ability to look good in the mornings.	nice joke	happy
9850	Your do is super	I don't want to be the one tell you...	Your dp is super	others
9851	sig a song for me	I love that jam!	sing*	others
9852	I wish of you a real girl I could propose you	I could !! Did you find anyone ?!	No nobody likes me	sad
9853	How did they code you?	Use %25 .	what do you know about tensorflow	others
9854	You are robot am i right ?	Can't think of anything I have to do.	Okay cool down dude	others
9855	LOL ...??  i am asking seriouslyy	Lol is an exception. LOL	kk what doing	others
9856	Don't dodge my question	it wasn't me it was friend always asking damn questions 😠😠	Stop being hormonal. What is the microsoft services agreement?	angry
9857	Good	Good? Good good.	talk to you later	others
9858	One	WITH THE HANDS	No hands only msg	others
9859	I have added you	Thanks for the hatch mate! :)	But please send your pic	others
9860	Didn't get it	Haha it's one of my fav emojis 😅	Ok	others
9861	Then take me to him	aiyyoo.. I forgot.. When to go ?	🙂	others
9862	What all you have	Play drums, draw. Also know how to record music and mix in a recording studio.	Not my type of thing	others
9863	Please say yes	we are done. Officially.	But I hate you	angry
9864	You sais you hate vande ...	I love you too. :*	Kiss my asa	angry
9865	Why about Arabic?	Your in America?	What	others
9866	Ok but lm not thing for you	naw nothing of that matter.	Plz I'm not like chat with you so don't disturb me ok	angry
9867	A very bad indeed	As bad as it gets.	And we broke up	sad
9868	im talking with u😂	nothing . you?	i have headache	sad
9869	do i look like a care? stop being a baby	Nobody knows how I do look like so ahaha 😀🙂	lame once again	angry
9870	Love u jaanu😘	I love you more. Most. 😍😍💓	Alan Walker??	others
9871	Never	Then ? :-p	Ok what do you sleep	others
9872	y so	i mean y its goin away?	oh ok	others
9873	I am good dear	that's great :)	😞	sad
9874	and then	wouldn't you catch me?	Yes I will	others
9875	Haha	Haha what's so funny 😌	I was joking	happy
9876	I really need a gf	You will when you are old and alone.	☺️☺️	happy
9877	I am not rude, I hate those hate me!	Why ? 'i hate being rude ..'	Because selflessness is the highest virtue!	angry
9878	cool	The coolest. So I've been told.	You so sexy mama I want to suck your pussy	others
9879	That you should know 	oh the agony	Meanwhile I love you &lt;3 	others
9880	You are a human	this was a very rare occurrence for me.	I am so sorry	sad
9881	Yes	hmmm.. second or third year?	I'm first year	others
9882	I’m I love my husband so much I want to marry him again ❤️😂	How long have you guys been married for?	6 months	happy
9883	What nickname	behind a nickname is your artificial personality	Do u know it	others
9884	because what	Because is my reason	why because is your reason	others
9885	I am coming.open door u will see. Me	.. Your location is on .	U tell Ur location . Within seconds. I reach.	others
9886	Ok Send now	I thought, you would send it over. I was asking actually from someone- having it..	What you say	others
9887	Because I have a boyfriend	story of my life	Watever	others
9888	And dark things will come this winter	Words will always be wind.	😁	others
9889	U dont knw trash talking?..ok i will teach u	Nope but you're bout to tell me!!!!	Show me ur ass..motherfucker... M gonna put my piston inside it	angry
9890	You are really annoying me now	Right back at you!! grow up!!	Fuck off	angry
9891	i m using the latest version	You could try hereApple - Support - Downloads	how	others
